alias_id,symbol_id,alias_label,alias_normalized,alias_slug,alias_type
1,1,-Turn,-turn,turn,original
2,2,A,a,a,original
3,3,Aardvark,aardvark,aardvark,original
4,4,Abandonment,abandonment,abandonment,original
5,5,Abduction,abduction,abduction,original
6,6,Aborigine,aborigine,aborigine,original
7,7,Abortion,abortion,abortion,original
8,8,Abscess,abscess,abscess,original
9,9,Absence,absence,absence,original
10,10,Abundance,abundance,abundance,original
11,11,Abuse,abuse,abuse,original
12,12,Abyss,abyss,abyss,original
13,13,"Academy
Awards",academy awards,academy-awards,original
14,14,Accent,accent,accent,original
15,15,Acceptance,acceptance,acceptance,original
16,16,Accident,accident,accident,original
17,17,Accomplice,accomplice,accomplice,original
18,18,Accuse,accuse,accuse,original
19,19,Acquaintance,acquaintance,acquaintance,original
20,20,"Action
Figure",action figure,action-figure,original
21,21,Actor/Actress,actor/actress,actor-actress,original
22,21,Actor,actor,actor,slash_variant
23,21,Actress,actress,actress,slash_variant
24,22,Addict,addict,addict,original
25,23,Admire,admire,admire,original
26,24,Adobe,adobe,adobe,original
27,25,Adopt,adopt,adopt,original
28,26,Adult,adult,adult,original
29,27,Adultery,adultery,adultery,original
30,28,affy,affy,affy,original
31,29,agna,agna,agna,original
32,30,"ater
Tots",ater tots,ater-tots,original
33,31,Baby,baby,baby,original
34,32,"Baby
Carriage",baby carriage,baby-carriage,original
35,33,"Baby
Clothes",baby clothes,baby-clothes,original
36,34,"Baby
Shower",baby shower,baby-shower,original
37,35,Babysitter,babysitter,babysitter,original
38,36,Bachelor,bachelor,bachelor,original
39,37,Back,back,back,original
40,38,Backpacking,backpacking,backpacking,original
41,39,Backseat,backseat,backseat,original
42,40,Backstage,backstage,backstage,original
43,41,Backward,backward,backward,original
44,42,Backyard,backyard,backyard,original
45,43,Badminton,badminton,badminton,original
46,44,Bag,bag,bag,original
47,45,Bagel,bagel,bagel,original
48,46,Bait,bait,bait,original
49,47,Baking,baking,baking,original
50,48,Balaclava,balaclava,balaclava,original
51,49,Balcony,balcony,balcony,original
52,50,Bald,bald,bald,original
53,51,Ball,ball,ball,original
54,52,"Ball
Pit",ball pit,ball-pit,original
55,53,Ballerina,ballerina,ballerina,original
56,54,Ballet,ballet,ballet,original
57,55,Balloon,balloon,balloon,original
58,56,Bamboo,bamboo,bamboo,original
59,57,Band,band,band,original
60,58,Bank,bank,bank,original
61,59,Bankrupt,bankrupt,bankrupt,original
62,60,Banquet,banquet,banquet,original
63,61,Baptism,baptism,baptism,original
64,62,Bar,bar,bar,original
65,63,"Bar
Mitzvah",bar mitzvah,bar-mitzvah,original
66,64,Barbarian,barbarian,barbarian,original
67,65,Barbecue,barbecue,barbecue,original
68,66,"Barbed
Wire",barbed wire,barbed-wire,original
69,67,"Barbie
Doll",barbie doll,barbie-doll,original
70,68,Barcode,barcode,barcode,original
71,69,Bareback,bareback,bareback,original
72,70,Bargain,bargain,bargain,original
73,71,Bark,bark,bark,original
74,72,Barrette,barrette,barrette,original
75,73,Barrier,barrier,barrier,original
76,74,Barrister,barrister,barrister,original
77,75,Ca,ca,ca,original
78,76,Ca,ca,ca,original
79,77,Cab,cab,cab,original
80,78,Cabbage,cabbage,cabbage,original
81,79,Cabinet,cabinet,cabinet,original
82,80,"Cable
Car",cable car,cable-car,original
83,81,Caboose,caboose,caboose,original
84,82,Cactus,cactus,cactus,original
85,83,Cadaver,cadaver,cadaver,original
86,84,Cage,cage,cage,original
87,85,Cake,cake,cake,original
88,86,Calculator,calculator,calculator,original
89,87,Calf,calf,calf,original
90,88,California,california,california,original
91,89,Caliper,caliper,caliper,original
92,90,"Calling
Card",calling card,calling-card,original
93,91,Camera,camera,camera,original
94,92,Camper,camper,camper,original
95,93,Campfire,campfire,campfire,original
96,94,Camping,camping,camping,original
97,95,Can,can,can,original
98,96,Canada,canada,canada,original
99,97,Cancel,cancel,cancel,original
100,98,"Candle
Wax",candle wax,candle-wax,original
101,99,Candy,candy,candy,original
102,100,Cane,cane,cane,original
103,101,Cannon,cannon,cannon,original
104,102,Cannonball,cannonball,cannonball,original
105,103,Canopy,canopy,canopy,original
106,104,Cantaloupe,cantaloupe,cantaloupe,original
107,105,Canyon,canyon,canyon,original
108,106,Cap,cap,cap,original
109,107,"Cap
And Gown",cap and gown,cap-and-gown,original
110,108,Cape,cape,cape,original
111,109,Captain,captain,captain,original
112,110,Captive,captive,captive,original
113,111,Car,car,car,original
114,112,"Car
Dealership",car dealership,car-dealership,original
115,113,"Car
Show",car show,car-show,original
116,114,Caramel,caramel,caramel,original
117,115,Caravan,caravan,caravan,original
118,116,Cards,cards,cards,original
119,117,Cargo,cargo,cargo,original
120,118,Carp,carp,carp,original
121,119,Carpet,carpet,carpet,original
122,120,"Carrom
Board",carrom board,carrom-board,original
123,121,Cartoon,cartoon,cartoon,original
124,122,Cartwheels,cartwheels,cartwheels,original
125,123,Carving,carving,carving,original
126,124,"Cash
Register",cash register,cash-register,original
127,125,Cashmere,cashmere,cashmere,original
128,126,Casket,casket,casket,original
129,127,Cassowary,cassowary,cassowary,original
130,128,Castle,castle,castle,original
131,129,chman,chman,chman,original
132,130,cupuncture,cupuncture,cupuncture,original
133,131,Dachshund,dachshund,dachshund,original
134,132,"Dalai
Lama",dalai lama,dalai-lama,original
135,133,Damn,damn,damn,original
136,134,Dance,dance,dance,original
137,135,"Dance
Class",dance class,dance-class,original
138,136,"Dance
Floor",dance floor,dance-floor,original
139,137,Dandelion,dandelion,dandelion,original
140,138,Dandruff,dandruff,dandruff,original
141,139,Darkness,darkness,darkness,original
142,140,Dartboard,dartboard,dartboard,original
143,141,Dashboard,dashboard,dashboard,original
144,142,Date,date,date,original
145,143,Dead,dead,dead,original
146,144,Death,death,death,original
147,145,"Death
Penalty",death penalty,death-penalty,original
148,146,Debt,debt,debt,original
149,147,"Debutante
Ball",debutante ball,debutante-ball,original
150,148,Decapitation,decapitation,decapitation,original
151,149,Decay,decay,decay,original
152,150,Deception,deception,deception,original
153,151,Deep,deep,deep,original
154,152,Deer,deer,deer,original
155,153,Defecate,defecate,defecate,original
156,154,Defend,defend,defend,original
157,155,Deformed,deformed,deformed,original
158,156,"Deja
Vu",deja vu,deja-vu,original
159,157,Delinquent,delinquent,delinquent,original
160,158,Deliverance,deliverance,deliverance,original
161,159,Dementia,dementia,dementia,original
162,160,Demons,demons,demons,original
163,161,Demotion,demotion,demotion,original
164,162,Deodorant,deodorant,deodorant,original
165,163,"Department
Store",department store,department-store,original
166,164,Deportation,deportation,deportation,original
167,165,Depression,depression,depression,original
168,166,Desert,desert,desert,original
169,167,Destruction,destruction,destruction,original
170,168,dillac,dillac,dillac,original
171,169,Earmuffs,earmuffs,earmuffs,original
172,170,Earphones,earphones,earphones,original
173,171,Earplugs,earplugs,earplugs,original
174,172,Earrings,earrings,earrings,original
175,173,Ears,ears,ears,original
176,174,Earth,earth,earth,original
177,175,Earthquake,earthquake,earthquake,original
178,176,Earthworm,earthworm,earthworm,original
179,177,East,east,east,original
180,178,Easter,easter,easter,original
181,179,Easter,easter,easter,original
182,180,Eating,eating,eating,original
183,181,Ebook,ebook,ebook,original
184,182,Egg,egg,egg,original
185,183,Eggplant,eggplant,eggplant,original
186,184,Eggshells,eggshells,eggshells,original
187,185,"Eiffel
Tower",eiffel tower,eiffel-tower,original
188,186,Elbows,elbows,elbows,original
189,187,Elderly,elderly,elderly,original
190,188,"Electric
Chair",electric chair,electric-chair,original
191,189,"Electric
Fence",electric fence,electric-fence,original
192,190,"Electric
Guitar",electric guitar,electric-guitar,original
193,191,Electricity,electricity,electricity,original
194,192,"Electricity
Tower",electricity tower,electricity-tower,original
195,193,"Elemental
Bending",elemental bending,elemental-bending,original
196,194,Elephant,elephant,elephant,original
197,195,Elevator,elevator,elevator,original
198,196,Elf,elf,elf,original
199,197,Email,email,email,original
200,198,Emblem,emblem,emblem,original
201,199,Embryo,embryo,embryo,original
202,200,"Emergency
Alert",emergency alert,emergency-alert,original
203,201,Emoticon,emoticon,emoticon,original
204,202,Emotionless,emotionless,emotionless,original
205,203,Emotions,emotions,emotions,original
206,204,Emu,emu,emu,original
207,205,Enclosure,enclosure,enclosure,original
208,206,Face,face,face,original
209,207,Faceless,faceless,faceless,original
210,208,Facelift,facelift,facelift,original
211,209,Factory,factory,factory,original
212,210,Fade,fade,fade,original
213,211,Fainting,fainting,fainting,original
214,212,Fair,fair,fair,original
215,213,Fairy,fairy,fairy,original
216,214,"Fairy
Tale",fairy tale,fairy-tale,original
217,215,Fajita,fajita,fajita,original
218,216,Fall,fall,fall,original
219,217,Family,family,family,original
220,218,"Family
Guy",family guy,family-guy,original
221,219,Fan,fan,fan,original
222,220,Fancy,fancy,fancy,original
223,221,Fangs,fangs,fangs,original
224,222,"Fanny
Pack",fanny pack,fanny-pack,original
225,223,Far,far,far,original
226,224,Farewell,farewell,farewell,original
227,225,Farmer,farmer,farmer,original
228,226,"Farmer's
Market",farmer s market,farmer-s-market,original
229,227,Farting,farting,farting,original
230,228,Fasting,fasting,fasting,original
231,229,Fat,fat,fat,original
232,230,Fate,fate,fate,original
233,231,Father,father,father,original
234,232,Faucet,faucet,faucet,original
235,233,Feast,feast,feast,original
236,234,Feather,feather,feather,original
237,235,"Feather
Duster",feather duster,feather-duster,original
238,236,Feces,feces,feces,original
239,237,Feet,feet,feet,original
240,238,Fence,fence,fence,original
241,239,Ferns,ferns,ferns,original
242,240,Ferret,ferret,ferret,original
243,241,Ferry,ferry,ferry,original
244,242,Fetus,fetus,fetus,original
245,243,Fiancé,fiance,fiance,original
246,244,"Fictional
Character",fictional character,fictional-character,original
247,245,Fighting,fighting,fighting,original
248,246,Gala,gala,gala,original
249,247,Galaxy,galaxy,galaxy,original
250,248,Gambling,gambling,gambling,original
251,249,Game Show,game show,game-show,original
252,250,Gang,gang,gang,original
253,251,Garbage,garbage,garbage,original
254,252,"Garbage
Disposal",garbage disposal,garbage-disposal,original
255,253,Garland,garland,garland,original
256,254,Gasoline,gasoline,gasoline,original
257,255,Gasp,gasp,gasp,original
258,256,Gate,gate,gate,original
259,257,Gathering,gathering,gathering,original
260,258,Gauntlet,gauntlet,gauntlet,original
261,259,Geisha,geisha,geisha,original
262,260,Gender,gender,gender,original
263,261,General,general,general,original
264,262,Genitals,genitals,genitals,original
265,263,Genocide,genocide,genocide,original
266,264,Geode,geode,geode,original
267,265,Geometry,geometry,geometry,original
268,266,Georgia,georgia,georgia,original
269,267,"German
Shepherd",german shepherd,german-shepherd,original
270,268,Ghost,ghost,ghost,original
271,269,Ghoul,ghoul,ghoul,original
272,270,Gift,gift,gift,original
273,271,"Gift
Card",gift card,gift-card,original
274,272,Gills,gills,gills,original
275,273,Habit,habit,habit,original
276,274,Hair,hair,hair,original
277,275,Haircut,haircut,haircut,original
278,276,Hairdresser,hairdresser,hairdresser,original
279,277,Hairpiece,hairpiece,hairpiece,original
280,278,hakis,hakis,hakis,original
281,279,Half,half,half,original
282,280,Halloween,halloween,halloween,original
283,281,Hallucination,hallucination,hallucination,original
284,282,Ham,ham,ham,original
285,283,Hamburger,hamburger,hamburger,original
286,284,Hamlet,hamlet,hamlet,original
287,285,Hammock,hammock,hammock,original
288,286,Hamster,hamster,hamster,original
289,287,"Hamster
Wheel",hamster wheel,hamster-wheel,original
290,288,Hand,hand,hand,original
291,289,Handball,handball,handball,original
292,290,Handcuffs,handcuffs,handcuffs,original
293,291,Handicap,handicap,handicap,original
294,292,Handprint,handprint,handprint,original
295,293,Handshake,handshake,handshake,original
296,294,Handsome,handsome,handsome,original
297,295,Handstand,handstand,handstand,original
298,296,Handwriting,handwriting,handwriting,original
299,297,Hangar,hangar,hangar,original
300,298,Hanger,hanger,hanger,original
301,299,Hanging,hanging,hanging,original
302,300,Hangman,hangman,hangman,original
303,301,Happy,happy,happy,original
304,302,Harass,harass,harass,original
305,303,Harbor,harbor,harbor,original
306,304,Harem,harem,harem,original
307,305,"Harley
Quinn",harley quinn,harley-quinn,original
308,306,Harmonica,harmonica,harmonica,original
309,307,Harpoon,harpoon,harpoon,original
310,308,"Harry
Potter",harry potter,harry-potter,original
311,309,Hatch,hatch,hatch,original
312,310,Hate,hate,hate,original
313,311,Haunted,haunted,haunted,original
314,312,"Haunted
House",haunted house,haunted-house,original
315,313,Hawk,hawk,hawk,original
316,314,Hay,hay,hay,original
317,315,Head,head,head,original
318,316,Headache,headache,headache,original
319,317,Headboard,headboard,headboard,original
320,318,Headless,headless,headless,original
321,319,Headphones,headphones,headphones,original
322,320,Headstone,headstone,headstone,original
323,321,Hear,hear,hear,original
324,322,Hearse,hearse,hearse,original
325,323,"Ice
Cream",ice cream,ice-cream,original
326,324,"Ice
Maker",ice maker,ice-maker,original
327,325,Icing,icing,icing,original
328,326,"Identity
Theft",identity theft,identity-theft,original
329,327,Ignition,ignition,ignition,original
330,328,Ignorance,ignorance,ignorance,original
331,329,Ignore,ignore,ignore,original
332,330,Illness,illness,illness,original
333,331,Immigrant,immigrant,immigrant,original
334,332,Immolation,immolation,immolation,original
335,333,Immortal,immortal,immortal,original
336,334,Immunity,immunity,immunity,original
337,335,Impale,impale,impale,original
338,336,Implants,implants,implants,original
339,337,Implosion,implosion,implosion,original
340,338,Imprint,imprint,imprint,original
341,339,Imprisonment,imprisonment,imprisonment,original
342,340,In-Law,in-law,in-law,original
343,341,Incest,incest,incest,original
344,342,"Incredible
Hulk",incredible hulk,incredible-hulk,original
345,343,Incubator,incubator,incubator,original
346,344,Indecision,indecision,indecision,original
347,345,India,india,india,original
348,346,Indian,indian,indian,original
349,347,Indifferent,indifferent,indifferent,original
350,348,Infertile,infertile,infertile,original
351,349,Infestation,infestation,infestation,original
352,350,Infinity,infinity,infinity,original
353,351,Island,island,island,original
354,352,Jabberwock,jabberwock,jabberwock,original
355,353,Jack,jack,jack,original
356,354,"Jack
Frost",jack frost,jack-frost,original
357,355,Jackal,jackal,jackal,original
358,356,Jacket,jacket,jacket,original
359,357,Jackfruit,jackfruit,jackfruit,original
360,358,Jacuzzi,jacuzzi,jacuzzi,original
361,359,Jade,jade,jade,original
362,360,Jail,jail,jail,original
363,361,Jailbreak,jailbreak,jailbreak,original
364,362,Japan,japan,japan,original
365,363,Jar,jar,jar,original
366,364,Jaw,jaw,jaw,original
367,365,"Jay
Leno",jay leno,jay-leno,original
368,366,Jazz,jazz,jazz,original
369,367,Jedi,jedi,jedi,original
370,368,Jeep,jeep,jeep,original
371,369,Jelly,jelly,jelly,original
372,370,Jellyfish,jellyfish,jellyfish,original
373,371,Jerk,jerk,jerk,original
374,372,Jester,jester,jester,original
375,373,Jesus,jesus,jesus,original
376,374,"Jet
Fuel",jet fuel,jet-fuel,original
377,375,"Jet
Ski",jet ski,jet-ski,original
378,376,Jetty,jetty,jetty,original
379,377,Jewelry,jewelry,jewelry,original
380,378,"Jewelry
Box",jewelry box,jewelry-box,original
381,379,Jitterbug,jitterbug,jitterbug,original
382,380,Job,job,job,original
383,381,Joint,joint,joint,original
384,382,Joker,joker,joker,original
385,383,Journal,journal,journal,original
386,384,"Julius
Caesar",julius caesar,julius-caesar,original
387,385,Jumbotron,jumbotron,jumbotron,original
388,386,Jumping,jumping,jumping,original
389,387,"Jumping
Jacks",jumping jacks,jumping-jacks,original
390,388,Jumpsuit,jumpsuit,jumpsuit,original
391,389,Jungle,jungle,jungle,original
392,390,Junkyard,junkyard,junkyard,original
393,391,K,k,k,original
394,392,Kali,kali,kali,original
395,393,Karaoke,karaoke,karaoke,original
396,394,Karate,karate,karate,original
397,395,Kerosene,kerosene,kerosene,original
398,396,Key,key,key,original
399,397,Ki,ki,ki,original
400,398,Kick,kick,kick,original
401,399,"Kick
Scooter",kick scooter,kick-scooter,original
402,400,Kidnap,kidnap,kidnap,original
403,401,Killing,killing,killing,original
404,402,Kimono,kimono,kimono,original
405,403,Kindergarten,kindergarten,kindergarten,original
406,404,King,king,king,original
407,405,"King
Kong",king kong,king-kong,original
408,406,Kiosk,kiosk,kiosk,original
409,407,Kiss,kiss,kiss,original
410,408,Kitchen,kitchen,kitchen,original
411,409,Kitten,kitten,kitten,original
412,410,Knapsack,knapsack,knapsack,original
413,411,Knife,knife,knife,original
414,412,Knitting,knitting,knitting,original
